58,1,4
75,1,2
76,1,3
109,1,2
121,1,2
152,1,3
163,1,5
181,1,5
225,1,3
242,1,3
288,1,4
308,1,3
379,1,5
387,1,2
399,1,2
409,1,1
445,1,3
521,1,5
522,1,2
532,1,2
547,1,4
577,1,3
586,1,4
587,1,3
593,1,3
612,1,2
613,1,3
622,1,2
630,1,2
643,1,3
656,1,4
665,1,2
671,1,2
687,1,4
690,1,1
731,1,3
737,1,2
745,1,3
751,1,4
805,1,5
820,1,4
829,1,1
836,1,3
860,1,4
911,1,4
941,1,2
946,1,4
991,1,1
993,1,1
6,2,1
22,2,3
50,2,3
53,2,3
125,2,3
126,2,2
141,2,2
146,2,2
166,2,3
180,2,4
195,2,3
234,2,3
282,2,4
289,2,2
296,2,4
297,2,4
298,2,3
339,2,4
343,2,3
346,2,2
350,2,3
419,2,2
431,2,1
442,2,2
454,2,3
492,2,4
520,2,4
579,2,4
581,2,4
604,2,3
609,2,5
614,2,4
625,2,1
642,2,1
652,2,4
694,2,3
702,2,2
704,2,4
706,2,2
710,2,1
729,2,3
744,2,3
749,2,3
755,2,2
764,2,1
771,2,2
824,2,4
836,2,4
877,2,2
879,2,2
888,2,1
894,2,5
904,2,3
906,2,3
911,2,2
938,2,3
946,2,3
953,2,4
955,2,1
962,2,3
963,2,1
974,2,3
1,3,3
30,3,3
53,3,3
62,3,5
74,3,4
77,3,2
90,3,3
93,3,4
105,3,2
137,3,2
154,3,1
177,3,3
179,3,4
200,3,4
203,3,3
214,3,2
230,3,4
242,3,2
243,3,5
282,3,3
292,3,3
324,3,4
334,3,3
390,3,4
407,3,3
479,3,4
481,3,3
495,3,3
582,3,4
586,3,4
592,3,3
654,3,5
662,3,3
684,3,4
723,3,3
751,3,4
756,3,4
773,3,4
788,3,5
851,3,4
865,3,2
868,3,5
873,3,3
886,3,3
938,3,3
988,3,3
6,4,4
19,4,3
31,4,4
45,4,2
56,4,3
66,4,4
82,4,4
96,4,3
134,4,2
139,4,1
141,4,2
161,4,2
167,4,3
197,4,3
205,4,3
216,4,3
251,4,3
253,4,3
314,4,1
354,4,4
390,4,1
405,4,2
407,4,3
418,4,1
442,4,2
444,4,3
459,4,2
465,4,4
471,4,3
487,4,3
493,4,3
507,4,3
510,4,2
514,4,4
551,4,3
559,4,2
563,4,3
568,4,3
593,4,1
595,4,3
600,4,4
640,4,2
667,4,1
683,4,4
687,4,1
698,4,4
720,4,2
721,4,3
727,4,5
739,4,2
772,4,2
773,4,2
787,4,5
799,4,2
832,4,4
852,4,2
918,4,3
928,4,3
944,4,3
948,4,3
962,4,2
972,4,5
980,4,4
990,4,4
7,5,1
35,5,2
65,5,4
75,5,3
112,5,1
119,5,3
137,5,1
166,5,4
204,5,3
262,5,3
266,5,4
295,5,3
296,5,2
330,5,3
361,5,1
374,5,4
378,5,3
407,5,3
415,5,1
440,5,4
452,5,2
454,5,4
477,5,4
481,5,4
491,5,3
529,5,3
570,5,2
574,5,3
617,5,2
628,5,3
632,5,3
639,5,3
716,5,3
730,5,2
796,5,3
